"","Subfamily","Genus"
"Peronomyrmex","Myrmicinae","Peronomyrmex"
"Petalomyrmex","Formicinae","Petalomyrmex"
"Phalacromyrmex","Myrmicinae","Phalacromyrmex"
"Phaulomyrma","Leptanillinae","Phaulomyrma"
"Pheidole","Myrmicinae","Pheidole"
"Philidris","Dolichoderinae","Philidris"
"Phrynoponera","Ponerinae","Phrynoponera"
"Pilotrochus","Myrmicinae","Pilotrochus"
"Plagiolepis","Formicinae","Plagiolepis"
"Platythyrea","Ponerinae","Platythyrea"
"Plectroctena","Ponerinae","Plectroctena"
"Podomyrma","Myrmicinae","Podomyrma"
"Poecilomyrma","Myrmicinae","Poecilomyrma"
"Pogonomyrmex","Myrmicinae","Pogonomyrmex"
"Polyergus","Formicinae","Polyergus"
"Polyrhachis","Formicinae","Polyrhachis"
"Ponera","Ponerinae","Ponera"
"Prenolepis","Formicinae","Prenolepis"
"Prionopelta","Amblyoponinae","Prionopelta"
"Pristomyrmex","Myrmicinae","Pristomyrmex"
"Proatta","Myrmicinae","Proatta"
"Probolomyrmex","Proceratiinae","Probolomyrmex"
"Proceratium","Proceratiinae","Proceratium"
"Procryptocerus","Myrmicinae","Procryptocerus"
"Proformica","Formicinae","Proformica"
"Prolasius","Formicinae","Prolasius"
"Promyopias","Ponerinae","Promyopias"
"Propodilobus","Myrmicinae","Propodilobus"
"Protalaridris","Myrmicinae","Protalaridris"
"Protanilla","Leptanillinae","Protanilla"
"Psalidomyrmex","Ponerinae","Psalidomyrmex"
"Pseudoatta","Myrmicinae","Pseudoatta"
"Pseudolasius","Formicinae","Pseudolasius"
"Pseudomyrmex","Pseudomyrmecinae","Pseudomyrmex"
"Pseudoneoponera","Ponerinae","Pseudoneoponera"
"Pseudonotoncus","Formicinae","Pseudonotoncus"
"Pseudoponera","Ponerinae","Pseudoponera"
"Rasopone","Ponerinae","Rasopone"
"Ravavy","Dolichoderinae","Ravavy"
"Recurvidris","Myrmicinae","Recurvidris"
"Rhopalomastix","Myrmicinae","Rhopalomastix"
"Rhopalothrix","Myrmicinae","Rhopalothrix"
"Rhytidoponera","Ectatomminae","Rhytidoponera"
"Rogeria","Myrmicinae","Rogeria"
"Romblonella","Myrmicinae","Romblonella"
"Rossomyrmex","Formicinae","Rossomyrmex"
